location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Rural,Silver,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,2465.66,No rules applied to this segment,33.16,0,2465.66,No rules applied to this segment,33.16,0,2465.66,No rules applied to this segment
Urban,Regular,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,54.81,0,13579.67,No rules applied to this segment,54.81,0,13579.67,No rules applied to this segment,54.81,0,13579.67,No rules applied to this segment
Suburban,Regular,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,14953.24,No rules applied to this segment,58.87,0,14953.24,No rules applied to this segment,58.87,0,14953.24,No rules applied to this segment
Rural,Regular,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.78,0,13384.52,No rules applied to this segment,52.78,0,13384.52,No rules applied to this segment,52.78,0,13384.52,No rules applied to this segment
Urban,Regular,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,14287.17,No rules applied to this segment,58.87,0,14287.17,No rules applied to this segment,58.87,0,14287.17,No rules applied to this segment
Suburban,Regular,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,44.66,0,8435.11,No rules applied to this segment,44.66,0,8435.11,No rules applied to this segment,44.66,0,8435.11,No rules applied to this segment
Rural,Regular,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,62.93,0,15110.4,No rules applied to this segment,62.93,0,15110.4,No rules applied to this segment,62.93,0,15110.4,No rules applied to this segment
Urban,Regular,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.76,0,8536.7,No rules applied to this segment,51.76,0,8536.7,No rules applied to this segment,51.76,0,8536.7,No rules applied to this segment
Suburban,Regular,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.78,0,9013.9,No rules applied to this segment,52.78,0,9013.9,No rules applied to this segment,52.78,0,9013.9,No rules applied to this segment
Rural,Regular,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.79,0,9408.47,No rules applied to this segment,53.79,0,9408.47,No rules applied to this segment,53.79,0,9408.47,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.61,0,15582.4,No rules applied to this segment,61.61,0,15582.4,No rules applied to this segment,61.61,0,15582.4,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,59.59,0,16512.34,No rules applied to this segment,59.59,0,16512.34,No rules applied to this segment,59.59,0,16512.34,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.61,0,15154.96,No rules applied to this segment,61.61,0,15154.96,No rules applied to this segment,61.61,0,15154.96,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.61,0,15061.63,No rules applied to this segment,61.61,0,15061.63,No rules applied to this segment,61.61,0,15061.63,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,67.67,0,12833.46,No rules applied to this segment,67.67,0,12833.46,No rules applied to this segment,67.67,0,12833.46,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.61,0,17368.74,No rules applied to this segment,61.61,0,17368.74,No rules applied to this segment,61.61,0,17368.74,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.51,0,8503.16,No rules applied to this segment,51.51,0,8503.16,No rules applied to this segment,51.51,0,8503.16,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,8153.8,No rules applied to this segment,49.49,0,8153.8,No rules applied to this segment,49.49,0,8153.8,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,8776.55,No rules applied to this segment,49.49,0,8776.55,No rules applied to this segment,49.49,0,8776.55,No rules applied to this segment
Urban,Regular,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,45.22,0,9892.21,No rules applied to this segment,45.22,0,9892.21,No rules applied to this segment,45.22,0,9892.21,No rules applied to this segment
Suburban,Regular,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.21,0,8628.77,No rules applied to this segment,43.21,0,8628.77,No rules applied to this segment,43.21,0,8628.77,No rules applied to this segment
Rural,Regular,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,6625.96,No rules applied to this segment,39.19,0,6625.96,No rules applied to this segment,39.19,0,6625.96,No rules applied to this segment
Urban,Regular,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,7833.04,No rules applied to this segment,41.2,0,7833.04,No rules applied to this segment,41.2,0,7833.04,No rules applied to this segment
Suburban,Regular,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,7745.98,No rules applied to this segment,41.2,0,7745.98,No rules applied to this segment,41.2,0,7745.98,No rules applied to this segment
Rural,Regular,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,45.22,0,8612.76,No rules applied to this segment,45.22,0,8612.76,No rules applied to this segment,45.22,0,8612.76,No rules applied to this segment
Urban,Regular,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.24,0,8923.48,No rules applied to this segment,48.24,0,8923.48,No rules applied to this segment,48.24,0,8923.48,No rules applied to this segment
Suburban,Regular,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,8642.67,No rules applied to this segment,49.24,0,8642.67,No rules applied to this segment,49.24,0,8642.67,No rules applied to this segment
Rural,Regular,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.24,0,8184.35,No rules applied to this segment,48.24,0,8184.35,No rules applied to this segment,48.24,0,8184.35,No rules applied to this segment
Urban,Regular,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.57,0,3918.44,No rules applied to this segment,38.57,0,3918.44,No rules applied to this segment,38.57,0,3918.44,No rules applied to this segment
Suburban,Regular,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.63,0,4816.16,No rules applied to this segment,42.63,0,4816.16,No rules applied to this segment,42.63,0,4816.16,No rules applied to this segment
Rural,Regular,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.63,0,5121.14,No rules applied to this segment,42.63,0,5121.14,No rules applied to this segment,42.63,0,5121.14,No rules applied to this segment
Urban,Regular,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,50.75,0,8162.9,No rules applied to this segment,50.75,0,8162.9,No rules applied to this segment,50.75,0,8162.9,No rules applied to this segment
Suburban,Regular,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,11843.96,No rules applied to this segment,58.87,0,11843.96,No rules applied to this segment,58.87,0,11843.96,No rules applied to this segment
Rural,Regular,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,56.84,0,9516.82,No rules applied to this segment,56.84,0,9516.82,No rules applied to this segment,56.84,0,9516.82,No rules applied to this segment
Urban,Regular,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.57,0,5606.83,No rules applied to this segment,38.57,0,5606.83,No rules applied to this segment,38.57,0,5606.83,No rules applied to this segment
Suburban,Regular,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.57,0,3175.62,No rules applied to this segment,38.57,0,3175.62,No rules applied to this segment,38.57,0,3175.62,No rules applied to this segment
Rural,Regular,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,34.51,0,2665.79,No rules applied to this segment,34.51,0,2665.79,No rules applied to this segment,34.51,0,2665.79,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.41,0,5472.43,No rules applied to this segment,41.41,0,5472.43,No rules applied to this segment,41.41,0,5472.43,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,3938.38,No rules applied to this segment,39.39,0,3938.38,No rules applied to this segment,39.39,0,3938.38,No rules applied to this segment
Rural,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,3581.33,No rules applied to this segment,39.39,0,3581.33,No rules applied to this segment,39.39,0,3581.33,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,65.65,0,14960.89,No rules applied to this segment,65.65,0,14960.89,No rules applied to this segment,65.65,0,14960.89,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,55.55,0,10041.42,No rules applied to this segment,55.55,0,10041.42,No rules applied to this segment,55.55,0,10041.42,No rules applied to this segment
Rural,Regular,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.61,0,13760.75,No rules applied to this segment,61.61,0,13760.75,No rules applied to this segment,61.61,0,13760.75,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,6454.46,No rules applied to this segment,39.39,0,6454.46,No rules applied to this segment,39.39,0,6454.46,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.43,0,7231.52,No rules applied to this segment,43.43,0,7231.52,No rules applied to this segment,43.43,0,7231.52,No rules applied to this segment
Rural,Regular,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,6251.77,No rules applied to this segment,39.39,0,6251.77,No rules applied to this segment,39.39,0,6251.77,No rules applied to this segment
Urban,Regular,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,4247.91,No rules applied to this segment,41.2,0,4247.91,No rules applied to this segment,41.2,0,4247.91,No rules applied to this segment
Suburban,Regular,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,3009.63,No rules applied to this segment,39.19,0,3009.63,No rules applied to this segment,39.19,0,3009.63,No rules applied to this segment
Rural,Regular,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,2113.83,No rules applied to this segment,33.16,0,2113.83,No rules applied to this segment,33.16,0,2113.83,No rules applied to this segment
Urban,Regular,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,7765.38,No rules applied to this segment,49.24,0,7765.38,No rules applied to this segment,49.24,0,7765.38,No rules applied to this segment
Suburban,Regular,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,9819.84,No rules applied to this segment,49.24,0,9819.84,No rules applied to this segment,49.24,0,9819.84,No rules applied to this segment
Rural,Regular,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,7525.8,No rules applied to this segment,49.24,0,7525.8,No rules applied to this segment,49.24,0,7525.8,No rules applied to this segment
Urban,Regular,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,6667.66,No rules applied to this segment,39.19,0,6667.66,No rules applied to this segment,39.19,0,6667.66,No rules applied to this segment
Suburban,Regular,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,5724.27,No rules applied to this segment,39.19,0,5724.27,No rules applied to this segment,39.19,0,5724.27,No rules applied to this segment
Rural,Regular,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,2771.31,No rules applied to this segment,33.16,0,2771.31,No rules applied to this segment,33.16,0,2771.31,No rules applied to this segment
