location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_duration_minutes,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_duration_minutes,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_duration_minutes,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_duration_minutes,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_duration_minutes,rec3_revenue_30d,rec3_explanation
Urban,Silver,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.17,3.7829,40.76,5422.9,No rules applied to this segment,35.17,3.7829,40.76,5422.9,No rules applied to this segment,35.17,3.7829,40.76,5422.9,No rules applied to this segment
Suburban,Silver,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,3.7229,50.39,7728.99,No rules applied to this segment,41.2,3.7229,50.39,7728.99,No rules applied to this segment,41.2,3.7229,50.39,7728.99,No rules applied to this segment
Rural,Silver,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.18,3.8096,49.56,7019.72,No rules applied to this segment,37.18,3.8096,49.56,7019.72,No rules applied to this segment,37.18,3.8096,49.56,7019.72,No rules applied to this segment
Urban,Silver,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,4.1549,46.39,7941.13,No rules applied to this segment,41.2,4.1549,46.39,7941.13,No rules applied to this segment,41.2,4.1549,46.39,7941.13,No rules applied to this segment
Suburban,Silver,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.22,4.1887,61.02,11557.98,No rules applied to this segment,45.22,4.1887,61.02,11557.98,No rules applied to this segment,45.22,4.1887,61.02,11557.98,No rules applied to this segment
Rural,Silver,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,55.27,4.1969,60.53,14040.7,No rules applied to this segment,55.27,4.1969,60.53,14040.7,No rules applied to this segment,55.27,4.1969,60.53,14040.7,No rules applied to this segment
Urban,Silver,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,33.16,4.8664,38.27,6175.62,No rules applied to this segment,33.16,4.8664,38.27,6175.62,No rules applied to this segment,33.16,4.8664,38.27,6175.62,No rules applied to this segment
Suburban,Silver,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,4.8335,36.13,8599.0,No rules applied to this segment,49.24,4.8335,36.13,8599.0,No rules applied to this segment,49.24,4.8335,36.13,8599.0,No rules applied to this segment
Rural,Silver,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,4.7475,35.25,8240.28,No rules applied to this segment,49.24,4.7475,35.25,8240.28,No rules applied to this segment,49.24,4.7475,35.25,8240.28,No rules applied to this segment
Urban,Silver,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,2.7974,34.3,4090.38,No rules applied to this segment,42.63,2.7974,34.3,4090.38,No rules applied to this segment,42.63,2.7974,34.3,4090.38,No rules applied to this segment
Suburban,Silver,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,36.54,2.7628,27.59,2785.29,No rules applied to this segment,36.54,2.7628,27.59,2785.29,No rules applied to this segment,36.54,2.7628,27.59,2785.29,No rules applied to this segment
Rural,Silver,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,44.66,2.6772,46.78,5593.19,No rules applied to this segment,44.66,2.6772,46.78,5593.19,No rules applied to this segment,44.66,2.6772,46.78,5593.19,No rules applied to this segment
Urban,Silver,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,75.11,3.4239,46.26,11896.64,No rules applied to this segment,75.11,3.4239,46.26,11896.64,No rules applied to this segment,75.11,3.4239,46.26,11896.64,No rules applied to this segment
Suburban,Silver,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.4019,53.13,10640.34,No rules applied to this segment,58.87,3.4019,53.13,10640.34,No rules applied to this segment,58.87,3.4019,53.13,10640.34,No rules applied to this segment
Rural,Silver,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,71.05,3.2822,67.06,15638.41,No rules applied to this segment,71.05,3.2822,67.06,15638.41,No rules applied to this segment,71.05,3.2822,67.06,15638.41,No rules applied to this segment
Urban,Silver,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,38.57,3.503,26.41,3568.27,No rules applied to this segment,38.57,3.503,26.41,3568.27,No rules applied to this segment,38.57,3.503,26.41,3568.27,No rules applied to this segment
Suburban,Silver,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,40.6,3.6917,33.94,5087.03,No rules applied to this segment,40.6,3.6917,33.94,5087.03,No rules applied to this segment,40.6,3.6917,33.94,5087.03,No rules applied to this segment
Rural,Silver,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,36.54,3.521,30.35,3904.75,No rules applied to this segment,36.54,3.521,30.35,3904.75,No rules applied to this segment,36.54,3.521,30.35,3904.75,No rules applied to this segment
Urban,Silver,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.51,2.7388,50.12,7070.71,No rules applied to this segment,51.51,2.7388,50.12,7070.71,No rules applied to this segment,51.51,2.7388,50.12,7070.71,No rules applied to this segment
Suburban,Silver,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.45,2.6583,50.33,6080.86,No rules applied to this segment,45.45,2.6583,50.33,6080.86,No rules applied to this segment,45.45,2.6583,50.33,6080.86,No rules applied to this segment
Rural,Silver,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.45,2.72,41.96,5187.26,No rules applied to this segment,45.45,2.72,41.96,5187.26,No rules applied to this segment,45.45,2.72,41.96,5187.26,No rules applied to this segment
Urban,Silver,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,69.69,3.307,65.23,15033.22,No rules applied to this segment,69.69,3.307,65.23,15033.22,No rules applied to this segment,69.69,3.307,65.23,15033.22,No rules applied to this segment
Suburban,Silver,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,67.67,3.4935,68.87,16281.22,No rules applied to this segment,67.67,3.4935,68.87,16281.22,No rules applied to this segment,67.67,3.4935,68.87,16281.22,No rules applied to this segment
Rural,Silver,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,71.71,3.4219,67.02,16445.67,No rules applied to this segment,71.71,3.4219,67.02,16445.67,No rules applied to this segment,71.71,3.4219,67.02,16445.67,No rules applied to this segment
Urban,Silver,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,3.6543,35.74,5144.52,No rules applied to this segment,39.39,3.6543,35.74,5144.52,No rules applied to this segment,39.39,3.6543,35.74,5144.52,No rules applied to this segment
Suburban,Silver,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.43,3.809,44.8,7411.03,No rules applied to this segment,43.43,3.809,44.8,7411.03,No rules applied to this segment,43.43,3.809,44.8,7411.03,No rules applied to this segment
Rural,Silver,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.43,3.813,42.34,7011.44,No rules applied to this segment,43.43,3.813,42.34,7011.44,No rules applied to this segment,43.43,3.813,42.34,7011.44,No rules applied to this segment
Urban,Silver,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,2.6682,25.91,2848.28,No rules applied to this segment,41.2,2.6682,25.91,2848.28,No rules applied to this segment,41.2,2.6682,25.91,2848.28,No rules applied to this segment
Suburban,Silver,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.18,2.7882,34.82,3609.62,No rules applied to this segment,37.18,2.7882,34.82,3609.62,No rules applied to this segment,37.18,2.7882,34.82,3609.62,No rules applied to this segment
Rural,Silver,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.17,2.6633,27.95,2618.03,No rules applied to this segment,35.17,2.6633,27.95,2618.03,No rules applied to this segment,35.17,2.6633,27.95,2618.03,No rules applied to this segment
Urban,Silver,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,3.2565,32.91,4415.46,No rules applied to this segment,41.2,3.2565,32.91,4415.46,No rules applied to this segment,41.2,3.2565,32.91,4415.46,No rules applied to this segment
Suburban,Silver,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.25,3.3118,41.61,7062.45,No rules applied to this segment,51.25,3.3118,41.61,7062.45,No rules applied to this segment,51.25,3.3118,41.61,7062.45,No rules applied to this segment
Rural,Silver,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.21,3.1573,35.58,4854.07,No rules applied to this segment,43.21,3.1573,35.58,4854.07,No rules applied to this segment,43.21,3.1573,35.58,4854.07,No rules applied to this segment
Urban,Silver,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.17,3.3243,24.98,2920.55,No rules applied to this segment,35.17,3.3243,24.98,2920.55,No rules applied to this segment,35.17,3.3243,24.98,2920.55,No rules applied to this segment
Suburban,Silver,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.17,3.5657,33.46,4196.07,No rules applied to this segment,35.17,3.5657,33.46,4196.07,No rules applied to this segment,35.17,3.5657,33.46,4196.07,No rules applied to this segment
Rural,Silver,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,33.16,3.1858,23.34,2465.66,No rules applied to this segment,33.16,3.1858,23.34,2465.66,No rules applied to this segment,33.16,3.1858,23.34,2465.66,No rules applied to this segment
Urban,Regular,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,54.81,3.5954,68.91,13579.67,No rules applied to this segment,54.81,3.5954,68.91,13579.67,No rules applied to this segment,54.81,3.5954,68.91,13579.67,No rules applied to this segment
Suburban,Regular,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.6029,70.5,14953.24,No rules applied to this segment,58.87,3.6029,70.5,14953.24,No rules applied to this segment,58.87,3.6029,70.5,14953.24,No rules applied to this segment
Rural,Regular,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,52.78,3.4877,72.71,13384.52,No rules applied to this segment,52.78,3.4877,72.71,13384.52,No rules applied to this segment,52.78,3.4877,72.71,13384.52,No rules applied to this segment
Urban,Regular,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,4.3268,56.09,14287.17,No rules applied to this segment,58.87,4.3268,56.09,14287.17,No rules applied to this segment,58.87,4.3268,56.09,14287.17,No rules applied to this segment
Suburban,Regular,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,44.66,4.1814,45.17,8435.11,No rules applied to this segment,44.66,4.1814,45.17,8435.11,No rules applied to this segment,44.66,4.1814,45.17,8435.11,No rules applied to this segment
Rural,Regular,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,62.93,4.3499,55.2,15110.4,No rules applied to this segment,62.93,4.3499,55.2,15110.4,No rules applied to this segment,62.93,4.3499,55.2,15110.4,No rules applied to this segment
Urban,Regular,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.76,4.7681,34.59,8536.7,No rules applied to this segment,51.76,4.7681,34.59,8536.7,No rules applied to this segment,51.76,4.7681,34.59,8536.7,No rules applied to this segment
Suburban,Regular,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,52.78,4.8162,35.46,9013.9,No rules applied to this segment,52.78,4.8162,35.46,9013.9,No rules applied to this segment,52.78,4.8162,35.46,9013.9,No rules applied to this segment
Rural,Regular,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,53.79,4.8654,35.95,9408.47,No rules applied to this segment,53.79,4.8654,35.95,9408.47,No rules applied to this segment,53.79,4.8654,35.95,9408.47,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,61.61,3.526,71.73,15582.4,No rules applied to this segment,61.61,3.526,71.73,15582.4,No rules applied to this segment,61.61,3.526,71.73,15582.4,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,59.59,3.5562,77.92,16512.34,No rules applied to this segment,59.59,3.5562,77.92,16512.34,No rules applied to this segment,59.59,3.5562,77.92,16512.34,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,61.61,3.5598,69.1,15154.96,No rules applied to this segment,61.61,3.5598,69.1,15154.96,No rules applied to this segment,61.61,3.5598,69.1,15154.96,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,61.61,4.2077,58.1,15061.63,No rules applied to this segment,61.61,4.2077,58.1,15061.63,No rules applied to this segment,61.61,4.2077,58.1,15061.63,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,67.67,4.3961,43.14,12833.46,No rules applied to this segment,67.67,4.3961,43.14,12833.46,No rules applied to this segment,67.67,4.3961,43.14,12833.46,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,61.61,4.3512,64.79,17368.74,No rules applied to this segment,61.61,4.3512,64.79,17368.74,No rules applied to this segment,61.61,4.3512,64.79,17368.74,No rules applied to this segment
Urban,Regular,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.51,4.6527,35.48,8503.16,No rules applied to this segment,51.51,4.6527,35.48,8503.16,No rules applied to this segment,51.51,4.6527,35.48,8503.16,No rules applied to this segment
Suburban,Regular,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.49,4.759,34.62,8153.8,No rules applied to this segment,49.49,4.759,34.62,8153.8,No rules applied to this segment,49.49,4.759,34.62,8153.8,No rules applied to this segment
Rural,Regular,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.49,4.7608,37.25,8776.55,No rules applied to this segment,49.49,4.7608,37.25,8776.55,No rules applied to this segment,49.49,4.7608,37.25,8776.55,No rules applied to this segment
Urban,Regular,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.22,3.5018,62.47,9892.21,No rules applied to this segment,45.22,3.5018,62.47,9892.21,No rules applied to this segment,45.22,3.5018,62.47,9892.21,No rules applied to this segment
Suburban,Regular,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.21,3.7104,53.82,8628.77,No rules applied to this segment,43.21,3.7104,53.82,8628.77,No rules applied to this segment,43.21,3.7104,53.82,8628.77,No rules applied to this segment
Rural,Regular,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,3.5297,47.9,6625.96,No rules applied to this segment,39.19,3.5297,47.9,6625.96,No rules applied to this segment,39.19,3.5297,47.9,6625.96,No rules applied to this segment
Urban,Regular,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,3.9883,47.67,7833.04,No rules applied to this segment,41.2,3.9883,47.67,7833.04,No rules applied to this segment,41.2,3.9883,47.67,7833.04,No rules applied to this segment
Suburban,Regular,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,4.1212,45.62,7745.98,No rules applied to this segment,41.2,4.1212,45.62,7745.98,No rules applied to this segment,41.2,4.1212,45.62,7745.98,No rules applied to this segment
Rural,Regular,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.22,4.0767,46.72,8612.76,No rules applied to this segment,45.22,4.0767,46.72,8612.76,No rules applied to this segment,45.22,4.0767,46.72,8612.76,No rules applied to this segment
Urban,Regular,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,48.24,4.9887,37.08,8923.48,No rules applied to this segment,48.24,4.9887,37.08,8923.48,No rules applied to this segment,48.24,4.9887,37.08,8923.48,No rules applied to this segment
Suburban,Regular,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,4.8393,36.27,8642.67,No rules applied to this segment,49.24,4.8393,36.27,8642.67,No rules applied to this segment,49.24,4.8393,36.27,8642.67,No rules applied to this segment
Rural,Regular,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,48.24,4.7023,36.08,8184.35,No rules applied to this segment,48.24,4.7023,36.08,8184.35,No rules applied to this segment,48.24,4.7023,36.08,8184.35,No rules applied to this segment
Urban,Regular,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,38.57,2.7193,37.36,3918.44,No rules applied to this segment,38.57,2.7193,37.36,3918.44,No rules applied to this segment,38.57,2.7193,37.36,3918.44,No rules applied to this segment
Suburban,Regular,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,2.7408,41.22,4816.16,No rules applied to this segment,42.63,2.7408,41.22,4816.16,No rules applied to this segment,42.63,2.7408,41.22,4816.16,No rules applied to this segment
Rural,Regular,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,2.6379,45.54,5121.14,No rules applied to this segment,42.63,2.6379,45.54,5121.14,No rules applied to this segment,42.63,2.6379,45.54,5121.14,No rules applied to this segment
Urban,Regular,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,50.75,3.3123,48.56,8162.9,No rules applied to this segment,50.75,3.3123,48.56,8162.9,No rules applied to this segment,50.75,3.3123,48.56,8162.9,No rules applied to this segment
Suburban,Regular,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.4868,57.7,11843.96,No rules applied to this segment,58.87,3.4868,57.7,11843.96,No rules applied to this segment,58.87,3.4868,57.7,11843.96,No rules applied to this segment
Rural,Regular,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,56.84,3.4121,49.07,9516.82,No rules applied to this segment,56.84,3.4121,49.07,9516.82,No rules applied to this segment,56.84,3.4121,49.07,9516.82,No rules applied to this segment
Urban,Regular,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,38.57,3.7112,39.17,5606.83,No rules applied to this segment,38.57,3.7112,39.17,5606.83,No rules applied to this segment,38.57,3.7112,39.17,5606.83,No rules applied to this segment
Suburban,Regular,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,38.57,3.3119,24.86,3175.62,No rules applied to this segment,38.57,3.3119,24.86,3175.62,No rules applied to this segment,38.57,3.3119,24.86,3175.62,No rules applied to this segment
Rural,Regular,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,34.51,3.2913,23.47,2665.79,No rules applied to this segment,34.51,3.2913,23.47,2665.79,No rules applied to this segment,34.51,3.2913,23.47,2665.79,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.41,2.7526,48.01,5472.43,No rules applied to this segment,41.41,2.7526,48.01,5472.43,No rules applied to this segment,41.41,2.7526,48.01,5472.43,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,2.7214,36.74,3938.38,No rules applied to this segment,39.39,2.7214,36.74,3938.38,No rules applied to this segment,39.39,2.7214,36.74,3938.38,No rules applied to this segment
